rssd_id,banks,city,state,consol_assets_bn
527954,FIRST NB OF OMAHA,OMAHA,Nebraska,24.1
311845,ARVEST BK,FAYETTEVILLE,Arkansas,24
606046,BANCORPSOUTH BK,TUPELO,Mississippi,23.6
288853,FIRSTBANK,LAKEWOOD,Colorado,23.5
208244,OLD NB,EVANSVILLE,Indiana,22.4
980661,FIRST HAWAIIAN BK,HONOLULU,Hawaii,22.3
1443266,BANK OF AMER CA NA,SAN FRANCISCO,California,22.3
663245,SIMMONS BK,PINE BLUFF,Arkansas,21.4
1007846,FIRST MW BK,CHICAGO,Illinois,21
795968,BANK OF HAWAII,HONOLULU,Hawaii,20.1
693224,ATLANTIC UNION BK,RICHMOND,Virginia,19.9
764030,AMERIS BK,ATLANTA,Georgia,19.8
595869,CATHAY BK,LOS ANGELES,California,19
2354985,CUSTOMERS BK,PHOENIXVILLE,Pennsylvania,18.8
936462,MECHANICS BK,WALNUT CREEK,California,18.5
1225761,WELLS FARGO NB WEST,LAS VEGAS,Nevada,18.2
2634191,GLACIER BK,KALISPELL,Montana,17.9
814430,CITY NB OF FL,MIAMI,Florida,17.4
1017939,UNITED CMNTY BK,BLAIRSVILLE,Georgia,17.1
122854,INDEPENDENT BK,MCKINNEY,Texas,17.1
659855,FIRST INTRST BK,BILLINGS,Montana,17
671464,BANK OF HOPE,LOS ANGELES,California,16.7
456045,CENTENNIAL BK,CONWAY,Arkansas,16.5
645625,WESBANCO BK,WHEELING,West Virginia,16.5
2078290,COLUMBIA ST BK,TACOMA,Washington,16.2
165628,FIRST FNCL BK,CINCINNATI,Ohio,15.9
342634,TRUSTMARK NB,JACKSON,Mississippi,15.6
128904,EASTERN BK,BOSTON,Massachusetts,15.5
800657,BREMER BK NA,SAINT PAUL,Minnesota,15.3
2797724,TOWNEBANK,PORTSMOUTH,Virginia,14.8
749242,RENASANT BK,TUPELO,Mississippi,14.8
352772,BANNER BK,WALLA WALLA,Washington,14.3
933966,CITIZENS BUS BK,ONTARIO,California,13.8
17147,FIRST MRCHS BK,MUNCIE,Indiana,13.7
637451,PLAINSCAPITAL BK,UNIVERSITY PARK,Texas,13.7
202907,COMMUNITY BK NA,CANTON,New York,13.6
613008,ROCKLAND TC,ROCKLAND,Massachusetts,13.2
506922,SANDY SPRING BK,OLNEY,Maryland,12.7
473501,BERKSHIRE BK,PITTSFIELD,Massachusetts,12.6
131650,GREAT WESTERN BK,SIOUX FALLS,South Dakota,12.6
436159,FIRSTBANK,NASHVILLE,Tennessee,11.1
702117,NBT BK NA,NORWICH,New York,10.8
